YEAR,ST,CT,TRACTCE,N,MOB_N,FRAC_BA,FRAC_BA_DECY,HOME_V,HOME_V2021,HOME_V2021_PERCAP,MOB_N_NB,MOB_SHM_NB,MOB_SCT_NB,MOB_SST_NB,MOB_DST_NB,MOB_DNT_NB,MOB_N_BA,MOB_SHM_BA,MOB_SCT_BA,MOB_SST_BA,MOB_DST_BA,MOB_DNT_BA
2021,06,075,023200,3857,3813,0.2646210333071073,10,777,777000,203.7765538945712,2804,0,55,31,4,0,1009,971,22,16,0,0
2021,06,075,023300,3930,3918,0.13782542113323124,10,642,642000,163.85911179173047,3378,0,167,115,28,0,540,426,86,4,24,0
2021,06,075,023400,4148,4072,0.28831041257367385,10,613,613000,150.5402750491159,2898,0,250,13,19,0,1174,1086,75,13,0,0
2021,06,075,025100,3384,3370,0.05163204747774481,7,671,671000,199.10979228486647,3196,0,174,73,38,0,174,158,7,6,3,0
2021,06,075,025200,5505,5459,0.005129144531965561,2,1562,1562000,286.1329913903645,5431,0,409,59,132,0,28,20,0,8,0,0
2021,06,075,025300,4441,4347,0.007361398665746492,2,785,785000,180.58431101909363,4315,0,269,132,59,0,32,26,6,0,0,0
2021,06,075,025401,3781,3681,0.021733224667209998,5,701,701000,190.4373811464276,3601,0,196,181,19,0,80,78,0,2,0,0
2021,06,075,025402,3522,3492,0.053837342497136315,7,753,753000,215.63573883161513,3304,0,123,40,6,0,188,171,0,0,17,0
2021,06,075,025403,4692,4676,0.06394354148845167,8,747,747000,159.7519247219846,4377,0,118,66,76,0,299,225,74,0,0,0
2021,06,075,025501,4443,4396,0.040036396724294813,6,877,877000,199.49954504094632,4220,0,266,120,10,0,176,144,2,3,27,0
2021,06,075,025502,4428,4328,0.024953789279112754,5,1019,1019000,235.44362292051756,4220,0,357,82,102,0,108,108,0,0,0,0
2021,06,075,025600,5158,4969,0.013282350573556048,4,1006,1006000,202.45522237874823,4903,0,433,49,0,0,66,66,0,0,0,0
2021,06,075,025701,5424,5371,0.011171104077452988,3,1048,1048000,195.1219512195122,5311,0,83,0,7,0,60,60,0,0,0,0
2021,06,075,025702,3979,3956,7.583417593528817e-4,1,747,747000,188.82709807886755,3953,0,46,1,12,0,3,3,0,0,0,0
2021,06,075,025800,2153,2139,0.08602150537634409,9,317,317000,148.20009350163627,1955,0,6,49,6,0,184,177,5,2,0,0
2021,06,075,025900,4409,4344,0.05202578268876611,7,1041,1041000,239.64088397790056,4118,0,165,56,0,0,226,226,0,0,0,0
2021,06,075,026001,6463,6410,0.03338533541341654,6,1070,1070000,166.9266770670827,6196,0,215,102,66,0,214,161,53,0,0,0
2021,06,075,026002,3660,3652,0.03614457831325301,6,767,767000,210.02190580503833,3520,0,216,15,65,0,132,75,8,0,49,0
2021,06,075,026003,5085,5085,0.004523107177974435,2,1008,1008000,198.23008849557522,5062,0,43,63,28,0,23,21,0,2,0,0
2021,06,075,026004,4107,4091,0.0354436568076265,6,794,794000,194.08457589831337,3946,0,195,0,11,0,145,108,36,1,0,0
2021,06,075,026100,7566,7551,0.030194676201827572,5,1369,1369000,181.30049000132433,7323,0,159,214,62,0,228,228,0,0,0,0
2021,06,075,026201,3825,3804,0.028654048370136697,5,611,611000,160.62039957939012,3695,0,59,23,0,0,109,106,1,2,0,0
2021,06,075,026202,3839,3801,0.0034201525914233097,2,639,639000,168.1136543014996,3788,0,45,34,12,0,13,13,0,0,0,0
2021,06,075,026301,5724,5724,0.011705101327742837,3,893,893000,156.00978336827393,5657,0,303,113,11,0,67,67,0,0,0,0
2021,06,075,026302,5142,5124,0.043911007025761124,7,1090,1090000,212.72443403590944,4899,0,134,38,0,0,225,166,27,11,21,0
2021,06,075,026303,4818,4784,0.008779264214046822,3,1033,1033000,215.92809364548495,4742,0,252,57,25,0,42,29,0,13,0,0
2021,06,075,026401,3444,3376,0.05687203791469194,8,744,744000,220.3791469194313,3184,0,101,5,0,0,192,184,6,1,1,0
2021,06,075,026402,5056,5056,0.0668512658227848,8,953,953000,188.4889240506329,4718,0,105,40,0,0,338,280,58,0,0,0
2021,06,075,026403,3801,3792,0.025052742616033755,5,727,727000,191.7194092827004,3697,0,90,124,21,0,95,84,11,0,0,0
2021,06,075,026404,2760,2754,0.10856935366739288,9,399,399000,144.880174291939,2455,0,0,6,0,0,299,293,0,6,0,0
2021,06,075,030101,5062,4976,0.012459807073954984,3,425,425000,85.40996784565917,4914,0,557,471,51,0,62,21,0,7,11,23
2021,06,075,030102,4731,4694,0.023008095440988495,5,941,941000,200.46868342564977,4586,0,493,397,217,0,108,36,6,18,48,0
2021,06,075,030201,4262,4188,0.01002865329512894,3,613,613000,146.37058261700096,4146,0,441,95,37,0,42,14,0,28,0,0
2021,06,075,030202,4013,3965,0.03127364438839849,6,451,451000,113.7452711223203,3841,0,418,143,75,0,124,108,0,0,16,0
2021,06,075,030301,6074,6028,0.015428002654280026,4,1540,1540000,255.47445255474452,5935,0,680,202,53,0,93,83,10,0,0,0
2021,06,075,030302,3928,3901,0.048449115611381696,7,989,989000,253.5247372468598,3712,0,180,62,221,0,189,178,0,0,11,0
2021,06,075,030400,5088,5076,0.015169424743892828,4,1843,1843000,363.08116627265565,4999,0,322,30,38,0,77,77,0,0,0,0
2021,06,075,030500,3676,3676,0.10228509249183895,9,710,710000,193.14472252448314,3300,0,204,317,38,0,376,358,14,0,0,4
2021,06,075,030600,2514,2492,0.014847512038523275,4,781,781000,313.40288924558587,2455,0,105,17,62,0,37,37,0,0,0,0
2021,06,075,030700,6959,6873,0.0356467335952277,6,2300,2300000,334.64280517968865,6628,0,189,28,62,0,245,236,9,0,0,0
2021,06,075,030800,6041,6015,0.012635078969243558,3,1471,1471000,244.55527847049044,5939,0,105,31,115,0,76,49,0,27,0,0
2021,06,075,030900,6767,6761,0.009909776660257358,3,2223,2223000,328.79751516047924,6694,0,242,109,2,0,67,57,1,9,0,0
2021,06,075,031000,4089,4038,0.03194650817236255,6,1118,1118000,276.8697374938088,3909,0,159,262,84,0,129,129,0,0,0,0
2021,06,075,031100,6295,6245,0.022738190552441955,5,1458,1458000,233.466773418735,6103,0,300,319,17,0,142,142,0,0,0,0
2021,06,075,031201,6522,6504,0.032595325953259535,6,1049,1049000,161.28536285362853,6292,0,161,78,16,0,212,186,26,0,0,0
2021,06,075,031202,3239,3235,0.06553323029366306,8,560,560000,173.10664605873262,3023,0,129,69,21,0,212,212,0,0,0,0
2021,06,075,031301,3866,3854,0.10897768552153607,9,1295,1295000,336.0145303580695,3434,0,380,40,50,0,420,397,23,0,0,0
2021,06,075,031302,5503,5456,0.12243401759530792,9,1224,1224000,224.34017595307918,4788,0,85,309,0,0,668,602,66,0,0,0
2021,06,075,031401,2378,2354,0.059473237043330504,8,397,397000,168.64910790144435,2214,0,35,21,0,0,140,140,0,0,0,0
2021,06,075,031402,4788,4788,0.14452798663324978,10,1036,1036000,216.37426900584796,4096,0,149,71,0,0,692,673,19,0,0,0
2021,06,075,032601,4874,4846,0.03404869995872885,6,683,683000,140.94098225340488,4681,0,270,303,21,0,165,149,16,0,0,0
2021,06,075,032602,4505,4490,0.033184855233853006,6,865,865000,192.65033407572383,4341,0,174,201,0,0,149,149,0,0,0,0
2021,06,075,032700,6932,6776,0.004279811097992916,2,1781,1781000,262.83943329397874,6747,0,197,38,62,0,29,29,0,0,0,0
2021,06,075,032801,4042,4003,0.02448163877092181,5,820,820000,204.84636522608045,3905,0,187,47,0,0,98,22,76,0,0,0
2021,06,075,032802,4624,4553,0.0017570832418185812,1,1026,1026000,225.34592576323303,4545,0,362,29,15,0,8,8,0,0,0,0
2021,06,075,032901,5360,5305,0.0022620169651272385,1,1257,1257000,236.94627709707822,5293,0,237,77,21,0,12,12,0,0,0,0
2021,06,075,032902,4103,4075,0.0034355828220858898,2,1101,1101000,270.18404907975463,4061,0,217,73,0,0,14,14,0,0,0,0
2021,06,075,033001,4200,4182,0.019368723098995694,4,1007,1007000,240.79387852702055,4101,0,263,103,20,0,81,81,0,0,0,0
2021,06,075,033002,4227,4210,2.3752969121140142e-4,1,992,992000,235.6294536817102,4209,0,312,218,16,0,1,0,1,0,0,0
2021,06,075,033100,3948,3916,0.01251276813074566,3,1152,1152000,294.17773237997955,3867,0,197,19,10,0,49,25,0,24,0,0
2021,06,075,033201,4262,4262,0.11191928671984984,9,0,0,0,3785,0,201,2222,113,0,477,181,46,245,5,0
2021,06,075,033203,3320,3300,0.08424242424242424,9,129,129000,39.09090909090909,3022,0,366,100,49,0,278,152,39,87,0,0
2021,06,075,033204,4402,4379,0.10321991322219685,9,0,0,0,3927,0,445,278,63,0,452,280,139,33,0,0
2021,06,075,035101,4035,4001,0.03824043989002749,6,620,620000,154.96125968507874,3848,0,338,57,12,0,153,153,0,0,0,0
2021,06,075,035102,4760,4736,0.01076858108108108,3,1039,1039000,219.38344594594594,4685,0,145,77,22,0,51,50,0,0,1,0
2021,06,075,035201,5497,5473,0.008770327060113284,3,1389,1389000,253.79133930202815,5425,0,327,218,76,0,48,48,0,0,0,0
2021,06,075,035202,4796,4766,0.02580780528745279,5,676,676000,141.83801930339908,4643,0,343,82,71,0,123,116,7,0,0,0
2021,06,075,035300,7537,7424,0.005387931034482759,2,1880,1880000,253.23275862068965,7384,0,349,108,4,0,40,36,0,4,0,0
2021,06,075,035400,7769,7657,0.00587697531670367,2,1982,1982000,258.84811283792607,7612,0,121,611,19,0,45,43,2,0,0,0
2021,06,075,040100,4342,4329,0.004389004389004389,2,539,539000,124.5091245091245,4310,0,439,219,8,0,19,19,0,0,0,0
2021,06,075,040200,5460,5444,0.012858192505510653,4,1024,1024000,188.09698750918443,5374,0,439,159,39,0,70,32,38,0,0,0
2021,06,075,042601,4261,4226,0.03809749171793658,6,488,488000,115.47562707051586,4065,0,404,201,42,0,161,161,0,0,0,0
2021,06,075,042602,2615,2530,0.002766798418972332,2,570,570000,225.29644268774703,2523,0,160,152,34,0,7,7,0,0,0,0
2021,06,075,042700,5361,5273,0.053479992414185475,7,808,808000,153.23345344206334,4991,0,568,71,73,0,282,177,63,9,0,33
2021,06,075,042800,2501,2481,0.012494961708988311,3,670,670000,270.0523982265216,2450,0,89,33,42,0,31,31,0,0,0,0
2021,06,075,045100,5209,5161,0.006587870567719434,2,495,495000,95.91164503003294,5127,0,231,208,94,0,34,34,0,0,0,0
2021,06,075,045201,3360,3360,0.06160714285714286,8,702,702000,208.92857142857142,3153,0,284,130,0,0,207,179,27,1,0,0
